Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Sales_Growth,Net_Profit_Growth,Profit_Trend
Mar-2015,13615,2243,16,142,42,266,2077,1427,14.54,,,N/A
Mar-2016,14271,2725,19,213,49,276,2614,1803,18.19,0.04818215203819309,0.26348983882270494,Profit Grew
Mar-2017,15062,2994,20,338,37,335,2960,2016,20.22,0.0554270899025997,0.11813643926788675,Profit Grew
Mar-2018,16825,3204,19,336,41,360,3138,2098,21.26,0.11704952861505769,0.04067460317460325,Profit Grew
Mar-2019,19240,3765,20,274,110,622,3306,2208,22.48,0.14353640416047542,0.052430886558627154,Profit Grew
Mar-2020,20211,4162,21,350,102,780,3629,2774,28.2,0.050467775467775366,0.256340579710145,Profit Grew
Mar-2021,21713,4856,22,332,92,791,4304,3207,32.73,0.07431596655286721,0.15609228550829135,Profit Grew
Mar-2022,29101,4804,17,296,95,816,4188,3085,31.59,0.3402569889006586,-0.03804178359837851,Profit Declined
Mar-2023,8787,1865,21,104,39,220,1710,1258,12.87,-0.6980516133466204,-0.5922204213938411,Profit Declined
Mar-2023,34489,6260,18,431,144,858,5689,4195,42.81,2.9250028451120973,2.334658187599364,Profit Grew
Jun-2023,9182,2121,23,228,46,198,2105,1575,16.16,-0.7337701875960452,-0.6245530393325387,Profit Declined
Sep-2023,8479,1716,20,194,51,209,1651,1232,12.57,-0.07656284033979521,-0.21777777777777774,Profit Declined
Dec-2023,9103,2056,23,186,54,220,1968,1475,15.09,0.07359358414907424,0.19724025974025983,Profit Grew
Mar-2024,35495,7585,21,821,205,853,7348,5558,56.92,2.8992639789080523,2.768135593220339,Profit Grew
Mar-2024,8731,1691,19,212,54,226,1624,1275,13.1,-0.7540216931962248,-0.7706009355883412,Profit Declined
Jun-2024,8970,1694,19,193,55,228,1604,1187,12.2,0.027373725804604288,-0.06901960784313721,Profit Declined
Sep-2024,8028,1240,15,25,63,242,959,694,7.24,-0.10501672240802673,-0.4153327716933446,Profit Declined
Dec-2024,8549,1637,19,193,56,256,1518,1128,11.58,0.06489785749875443,0.6253602305475505,Profit Grew
Mar-2025,33906,6006,18,350,227,1026,5103,3710,38.23,2.9660779038484035,2.2890070921985815,Profit Grew
Mar-2025,8359,1436,17,-60,53,301,1022,701,7.22,-0.7534654633398219,-0.8110512129380054,Profit Declined
Jun-2025,8939,1625,18,229,44,301,1509,1117,11.47,0.06938629022610354,0.593437945791726,Profit Grew
Sep-2025,8531,1503,18,237,44,305,1392,1018,10.36,-0.04564268933885218,-0.08863025962399285,Profit Declined
Dec-2025,8867,1781,20,69,48,313,1489,1074,11.05,0.039385769546360416,0.05500982318271119,Profit Grew
Mar-2026,35584,6700,19,728,195,1229,6003,4395,45.09,3.0130822149543253,3.0921787709497206,Profit Grew
Mar-2026,9247,1787,19,197,59,310,1614,1185,12.22,-0.7401360161870504,-0.7303754266211604,Profit Declined
